diagram,section,category,label,x,y,width,height,color,notes
LEGEND,Legend,ACTOR,ACTOR,0,-260,180,70,#fff2a8,Shared Event Storming legend
BOARD,Divider,SECTION HEADER,TO-BE Event Storming,0,-120,520,80,#eeeeee,Left side of board
TO-BE,Email Intake,SECTION HEADER,Email Intake,0,0,340,80,#eeeeee,
TO-BE,Email Intake,ACTOR,Customer,0,150,180,110,#fff2a8,
TO-BE,Email Intake,COMMAND,Send Complaint Email,0,300,180,110,#cfe8ff,
TO-BE,Email Intake,EVENT,Complaint Email Received,0,450,180,110,#ffc78f,
TO-BE,Email Intake,SYSTEM,Microsoft 365 / Exchange,0,600,180,110,#f7b0d8,
TO-BE,Exception Handling,SECTION HEADER,Exception Handling,0,1350,360,80,#eeeeee,
TO-BE,Exception Handling,POLICY,Business Uncertainty,0,1500,180,110,#d7c6ff,
TO-BE,Exception Handling,HOTSPOT,Missing Order ID,0,1650,180,110,#ffb3b3,
TO-BE,Mailbox Reconciliation,SECTION HEADER,Mailbox Reconciliation,0,1900,360,80,#eeeeee,
TO-BE,Mailbox Reconciliation,COMMAND,Run Reconciliation Job,0,2050,180,110,#cfe8ff,
TO-BE,Architecture Principles,SECTION HEADER,Architecture Principles,0,2280,360,80,#eeeeee,
TO-BE,Architecture Principles,POLICY,Webhook Triggers Only,0,2430,180,110,#d7c6ff,
LEGEND,Legend,COMMAND,COMMAND,210,-260,180,70,#cfe8ff,Shared Event Storming legend
TO-BE,Email Intake,COMMAND,Fetch Email Content,230,300,180,110,#cfe8ff,
TO-BE,Email Intake,EVENT,New Mail Detected,230,450,180,110,#ffc78f,
TO-BE,Email Intake,SYSTEM,Microsoft Graph Webhook,230,600,180,110,#f7b0d8,
TO-BE,Exception Handling,COMMAND,Route To Human Review,230,1500,180,110,#cfe8ff,
TO-BE,Exception Handling,HOTSPOT,Customer Not Found,230,1650,180,110,#ffb3b3,
TO-BE,Mailbox Reconciliation,SYSTEM,Microsoft Graph API,230,2050,180,110,#f7b0d8,
TO-BE,Architecture Principles,POLICY,Graph API Fetches Content,230,2430,180,110,#d7c6ff,
LEGEND,Legend,EVENT,EVENT,420,-260,180,70,#ffc78f,Shared Event Storming legend
